Your Estimate,,,,
Service Type,Components,Region,Component Price,Service Price
Amazon EC2 Service (US East (N. Virginia)),,,,$5861.8
,Compute:,US East (N. Virginia),$5621.8,
,EBS Volumes:,US East (N. Virginia),$40,
,EBS IOPS:,US East (N. Virginia),$0,
,EBS Snapshots:,US East (N. Virginia),$200,
Amazon S3 Service (US East (N. Virginia)),,,,$0.12
,S3 Standard Storage:,US East (N. Virginia),$0.03,
,S3 Standard Put Requests:,US East (N. Virginia),$0.05,
,S3 Standard Other Requests:,US East (N. Virginia),$0.04,
Amazon Route 53 Service,,,,$150.5
,Hosted Zones:,Global,$0.5,
,Traffic Flow:,Global,$150,
Amazon CloudFront Service,,,,$8.52
,Data Transfer Out:,Global,$8.5,
,Data Transfer Out to Origin:,Global,$0.02,
,Invalidations:,Global,$0,
Amazon RDS Service (US East (N. Virginia)),,,,$2228.39
,DB instances:,US East (N. Virginia),$2002.76,
,Storage:,US East (N. Virginia),$25,
,I/O:,US East (N. Virginia),$200,
,Intra-Region Data Transfer:,US East (N. Virginia),$0.03,
,Inter-Region Data Transfer Out:,US East (N. Virginia),$0.6,
Amazon Elastic Load Balancing (US East (N. Virginia)),,,,$17.41
,Application LBs:,US East (N. Virginia),$17.41,
Amazon DynamoDB Service (US East (N. Virginia)),,,,$12.5
,On-demand Capacity:,US East (N. Virginia),$12.5,
,Provisioned Capacity:,US East (N. Virginia),$0,
,Indexed Data Storage:,US East (N. Virginia),$0,
,DynamoDB Streams:,US East (N. Virginia),$0,
,On-demand backup:,US East (N. Virginia),$0,
,Continuous backup (PITR):,US East (N. Virginia),$0,
,Restoring a table:,US East (N. Virginia),$0,
AWS Data Transfer In,,,,$0
,US East (N. Virginia) Region:,Global,$0,
AWS Data Transfer Out,,,,$0.45
,US East (N. Virginia) Region:,Global,$0.45,
AWS Support (Basic),,,,$0
,Support for all AWS services:,,$0,
,,Free Tier Discount:,,$-32
,,Total Monthly Payment:,,"$8,247.7"
